,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
1711230184.3048785,48,30,294819,28526,7010,8603,1841,7186,6059,2981
1711230185.3096955,35,30,1081658,149783,44853,50339,8678,10043,9341,4595
1711230186.3126454,16,13,196635,46723,7381,4632,1635,871,1476,1951
1711230187.3196192,16,1,233201,136808,22137,22493,12464,12691,10113,7720
1711230188.2973924,30,1,17825,4993,2258,1109,5483,4594,1420,2442
1711230189.302658,61,1,49440,22490,20657,6148,10608,13753,15007,5424
1711230190.2968006,88,8,30356,25067,11513,3286,5195,5337,1637,1847
1711230191.2903578,100,20,38778,21251,11978,8412,6007,15018,19510,9933
1711230192.3030221,100,38,60145,28072,14778,10293,6676,14765,13963,9314
1711230193.322236,83,16,81223,24981,457,2647,1514,1426,1650,1735
1711230194.3182328,77,43,108263,8215,8804,13717,3243,2788,1764,5095
1711230196.3099155,80,37,2684,25705,2932,10917,9687,33688,9355,10811
1711230197.3144703,100,50,51784,13291,4779,8752,16521,20933,15310,16253
1711230200.2995822,100,37,12353,8910,2326,14426,16205,17888,9669,8669
1711230201.3039048,93,29,419416,124251,12043,18290,19363,25869,15388,22926
1711230202.2989666,94,29,7566,14713,7682,5788,10957,11451,16857,8987
1711230204.306886,60,10,1303572,544559,153103,65886,25402,44845,28480,33626
1711230205.3110573,53,3,1573895,446477,4831,25720,10651,42435,30533,30913
1711230206.313733,53,1,9035,32976,8291,5948,8530,20165,30784,26112
1711230207.3029995,56,24,102299,15653,8072,1436,3662,4329,3588,2323
1711230208.3198721,69,24,14382,16771,1175,7059,14137,5584,17201,12468
1711230209.3164432,70,51,2511,52614,28392,2806,12208,8297,8030,10545
1711230210.3115017,44,38,312032,59496,1734,3420,6341,2268,3038,4928
1711230211.299407,38,30,778762,179172,31436,25145,28082,20552,15610,25605
1711230212.3032238,24,17,26210,63287,5242,803,2618,3901,2390,2329
1711230213.300115,23,20,148879,81229,50672,9512,14375,11607,8769,9728
1711230214.30154,38,27,1626969,530887,16712,84672,61720,102587,52841,45448
1711230215.315793,50,26,631026,380960,100170,19619,76508,130103,40867,33572
