,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
1712076271.909299,35,30,870568,31919,9036,1743,6083,8533,2598,1669
1712076272.9013028,16,53,984038,169915,181948,105826,65247,31830,4434,10013
1712076273.9245937,1,60,170518,16902,5946,5868,3673,2143,164,223
1712076274.9165928,1,60,585537,78986,19053,11905,4955,7297,14878,5133
1712076275.9085925,1,54,168780,153046,23604,6617,9667,10375,10303,3864
1712076276.9630942,1,35,745911,367161,109763,49952,30871,30308,13288,8829
1712076277.9240932,1,16,299800,115424,16920,13077,15813,8423,3573,5141
1712076278.9155924,1,17,357761,38167,10506,4149,1523,1050,1358,689
1712076279.9075923,1,17,175389,88878,3176,14316,15575,1656,2186,1743
1712076280.8995926,1,1,336494,251043,27342,10573,8265,13448,7248,5546
1712076281.9230928,1,4,1234052,158340,38776,14428,23970,9870,5804,6963
1712076282.9150918,1,1,310554,324297,61732,23255,10967,8143,6144,2619
1712076283.907098,10,21,504460,46633,4942,31238,5634,5968,8237,7090
1712076284.8995934,8,21,776124,198086,24643,3149,4556,7815,6760,7973
1712076285.9220932,10,13,21068,40576,4192,5343,7625,3025,2051,1287
1712076286.9135928,10,13,855899,87694,26514,28042,10772,9862,3768,2487
1712076287.9060931,10,13,308300,135807,12960,60253,42747,17777,4608,2837
1712076288.8975925,10,13,895818,94372,14665,20625,23561,20801,2175,454
1712076289.9210944,10,13,622110,115900,36158,11637,10377,54734,11798,3405
1712076290.912595,35,23,772916,45168,19884,6989,13679,14103,1967,2528
1712076291.9360938,38,26,2539361,65445,40846,16813,12726,10749,4200,1504
1712076292.9275928,53,26,406088,60939,3667,3801,5654,9280,1614,1772
1712076294.9115932,37,17,362696,57919,3129,12739,5534,4494,750,1115
1712076295.904093,41,26,59813,13182,10397,12319,4860,4237,1398,418
1712076297.9190946,38,53,744212,40337,10835,16923,6643,3563,3126,721
1712076298.911594,43,60,1927951,67863,19179,7533,8408,8096,1299,1297
1712076299.9025946,37,57,66012,13900,5121,13386,2548,2539,764,1243
1712076300.9260943,38,63,315955,477593,32378,40508,57056,63756,15055,6396
1712076301.9180954,44,54,1188139,101614,27739,21383,17091,13283,8292,2503
1712076302.9100945,40,63,2659871,263223,50923,116789,36713,25271,5952,7687
1712076304.9250934,35,81,77579,50256,28395,10590,4763,4516,3005,2440
1712076306.940093,74,74,123133,11123,10849,12369,6870,11599,947,679
1712076307.900593,80,48,314641,118444,9038,7004,14287,25484,5863,2851
1712076308.9235928,91,41,129443,30924,9621,7344,5117,6703,1445,1215
1712076309.9155958,75,57,278170,30157,16073,6399,14299,5047,2221,1311
1712076311.9000943,57,61,617726,63795,13971,17566,14178,13240,1736,2434
1712076312.922595,50,74,774402,28939,21230,13388,4859,4458,6049,1481
1712076313.915093,50,74,297482,57745,21067,25056,8903,11114,1206,1023
1712076314.9070935,50,74,969472,458814,147678,202476,243017,120651,29131,30773
1712076316.9220934,48,64,606045,77929,7424,5270,9129,5654,1505,1465
1712076317.913594,34,69,427085,23339,3556,4651,1936,908,545,623
1712076318.9365962,24,63,453603,168557,16723,29729,14343,14885,6409,4795
1712076319.9290953,14,27,1580906,397512,36216,10170,18423,13270,2851,3538
1712076320.9205956,10,35,165798,74097,20481,36464,53628,7556,4059,3009
1712076321.9440942,29,51,51934,8920,26585,9840,16863,7512,7549,4175
1712076322.9050941,21,64,12246,61750,14766,30615,20814,3528,3915,7159
1712076323.8975923,30,67,203687,55136,8082,820,7308,4142,1888,2513
1712076325.9120939,34,74,311520,5041,1299,3331,1864,1163,505,958
1712076326.9040935,40,67,135398,23927,5371,7980,6895,2096,2081,1704
1712076328.9190931,48,77,244363,47490,5763,8985,4224,3375,684,1696
1712076329.910593,56,70,373239,45147,17403,16892,20269,19433,4111,4548
1712076330.9030943,60,87,109977,34831,11433,34573,7040,5846,6575,6216
1712076332.9175932,54,75,657543,27309,3999,845,1048,2752,2752,1296
1712076333.9100933,48,75,851197,198696,71727,37675,10933,40670,5589,14562
1712076334.933092,43,40,956376,196937,11058,12806,11003,10768,4808,1092
1712076336.916594,43,80,170441,13176,5046,19215,1688,4871,2723,3865
1712076338.901093,38,56,2271055,56392,4848,4043,11410,8687,10777,11081
1712076339.9240944,43,78,1409001,402697,89544,121488,25580,50819,7966,7269
1712076340.9470925,37,54,179587,92464,26154,2435,6595,3908,4153,9903
1712076341.9075925,23,30,2038019,79262,6158,19380,14894,4286,2685,3307
1712076342.8995926,29,70,1635074,25909,43800,18666,9696,11460,10783,4711
1712076343.9230924,29,56,293577,131644,25864,2625,12511,12920,9176,3432
1712076344.9145937,41,77,21973,8378,14009,2217,2897,2518,519,2212
1712076345.9070933,38,81,224567,211415,56246,26844,12028,9742,5477,8796
1712076346.899096,30,69,410039,73433,29782,20854,6496,8792,16474,5159
1712076348.914093,16,44,285518,231920,22034,15562,12161,11918,7182,3998
1712076349.9370925,30,44,500604,26470,13207,6176,23425,5808,3025,2580
1712076350.9290926,43,56,686282,13576,50401,27306,17872,17093,12411,6903
1712076351.9205918,43,61,121886,41077,11177,11132,5527,3370,1520,3501
