,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
1710892308.8959258,37,38,37223,24253,5032,12169,13628,4619,4124,1873
1710892309.9096687,35,30,65458,27961,1266,1412,3530,1782,761,915
1710892310.9230692,41,44,226553,55539,43125,27247,16381,18581,9157,4058
1710892311.9193494,51,63,221735,85957,41515,27951,17499,12386,14370,26602
1710892313.9077067,64,66,855140,90266,22802,17202,5579,28056,14966,8356
1710892314.9132512,81,56,14377,14931,3469,9180,12209,21532,17429,8272
1710892315.9047678,90,56,26252,29913,16925,13046,13461,10574,13018,11728
1710892316.8906457,91,69,110141,13866,9581,5206,3282,4728,2171,3096
1710892318.8845766,90,64,280527,24272,9434,8229,32285,52144,18569,26437
1710892319.9106627,94,67,16791,5257,4620,8387,4541,8617,10763,7691
1710892320.8819306,90,63,16572,17942,7820,2729,4839,3414,1899,1389
1710892321.9168286,100,63,26793,5661,6021,4925,10685,16408,6462,6786
1710892322.9073193,81,66,36634,36261,5942,4657,11007,5398,5841,3498
1710892323.9090607,60,51,441791,283766,18620,19409,14103,12674,7382,2761
1710892324.9171097,54,44,292071,58328,10590,4613,2835,5289,2141,1775
1710892325.884596,41,50,60055,35657,18823,26797,27361,16616,23985,5999
1710892326.9137566,56,56,4169,3035,1577,2595,2430,4097,3939,5054
1710892327.9170687,67,64,53471,12731,1910,5114,2906,3298,1216,3212
1710892328.9050457,78,70,182805,15127,2167,8177,3185,5180,1791,4097
1710892329.8826182,81,66,5899,16204,8835,3950,14861,9454,30866,13709
1710892330.908596,70,64,8328,29160,4449,9889,11402,7907,12491,4369
1710892331.9069142,70,69,50388,6454,3067,3850,1547,2196,2353,3005
1710892332.8858986,74,56,28343,40042,698,4710,3556,12782,8932,4693
1710892333.9170852,75,60,14135,10377,5545,3210,3402,8089,4885,10034
1710892334.9205992,70,56,65048,16776,3015,2007,2144,2984,1162,543
1710892335.905359,70,50,57394,5739,1772,2090,4936,1446,2325,1071
1710892336.9091694,74,63,65945,13024,4549,4615,1130,7514,1458,1798
1710892337.8969018,56,60,174717,138223,33784,12589,5882,10907,4446,7250
1710892338.9091341,74,66,7219,2848,5187,9525,11378,14780,5483,11441
1710892339.906894,69,70,69601,16063,14411,763,5887,3479,2412,1405
1710892340.8880055,51,57,612978,223914,7181,18640,12762,12379,12100,8444
1710892341.9021747,74,61,6605,11571,15026,7774,15567,24054,8049,15499
1710892342.9279897,67,54,6696,4624,254,1709,1935,2869,2648,3317
1710892343.9099765,67,54,90702,23826,14665,6705,2349,4849,6662,3085
1710892344.9164875,84,66,8262,12898,5946,5324,13408,7589,15164,5205
1710892345.9086246,67,54,205725,63115,5713,2509,2770,6802,4333,3688
1710892347.8837407,50,51,126236,112955,34697,34569,19995,12706,9826,7627
1710892348.8990643,53,51,71364,5503,5983,666,5359,5654,2226,1435
1710892349.9102213,75,61,10991,10307,8241,7478,7968,27506,36674,9358
1710892351.915769,81,43,69161,60244,5208,2325,2406,5761,3736,2871
1710892352.9166193,74,51,70411,9976,28168,12930,25566,10647,37026,9879
1710892353.9058304,66,53,30384,28495,23920,6614,7634,30207,10870,10109
1710892354.9129975,64,69,927706,71140,49305,20258,9927,17052,15640,16178
1710892355.8896115,67,87,31569,13638,9066,9614,6219,4555,6283,4308
1710892356.8920033,81,83,97802,4881,14712,11737,13227,29301,31795,22346
1710892357.9225657,69,69,87153,34207,2372,1170,700,4509,2422,1685
1710892358.8852894,77,67,65163,24435,39102,10600,22818,20782,8661,12047
1710892359.8958347,88,63,9752,17092,5364,11720,2679,18507,17943,11398
1710892360.905924,66,53,707672,68658,1675,9871,1770,6524,5748,3558
1710892362.9137306,70,54,18038,18084,2913,2582,1346,1544,4255,2110
1710892365.8939638,57,48,20680,32462,431,10385,6139,27632,17796,11335
1710892367.912982,83,34,65590,31676,6644,2601,4412,2148,1348,1244
1710892369.9159958,70,44,53465,58927,25557,20885,17475,13871,16800,3850
1710892370.8803232,43,57,12943,51501,8746,10999,13958,4019,13103,14207
1710892371.907823,50,60,247825,122505,36465,14328,20762,22380,33680,23408
1710892372.8956382,47,69,36634,28376,45944,8435,10590,25138,16568,5856
1710892373.90162,56,63,47673,7287,2074,1664,3913,4803,3755,3234
1710892374.8816936,75,66,7569,8340,632,11545,10037,11104,21080,11983
1710892375.9072273,77,60,149033,17656,1766,1311,2885,3161,2831,2551
1710892376.8847303,70,48,36482,15773,1972,2249,2831,3461,8418,2590
1710892377.8894403,66,53,220402,13935,7864,2998,5143,6068,7349,4548
1710892378.9077828,50,48,103167,141780,19007,14081,4790,10293,13712,11163
1710892379.8807797,38,43,138007,59637,1834,2485,3346,2318,2077,2669
1710892380.890606,43,50,694792,38070,17218,15918,11414,25084,11509,4418
1710892381.8838487,34,43,159512,194410,23338,24458,26379,14850,4062,3182
1710892382.9077492,53,44,6272,4459,3326,996,3884,6199,1748,2982
1710892384.8985083,57,63,286557,10323,6195,6609,1994,2558,1964,3164
1710892385.8843253,64,61,20983,22643,1363,4155,4690,4230,2043,3070
1710892386.8994725,54,64,43585,7025,4203,3848,9127,3118,1855,1225
1710892387.9077394,47,64,157844,24221,1081,9902,3279,2573,768,1220
1710892388.9044628,56,61,14671,5996,2351,9564,9605,6383,10035,3031
1710892389.898059,63,69,69793,21714,14250,8867,16547,16914,8539,4525
1710892391.890055,80,77,4871,18625,18980,8823,5460,9712,3443,6621
1710892394.8917522,23,53,94383,26253,10308,4825,2728,2110,769,696
1710892395.9061124,24,50,274232,10367,4918,3672,2520,4791,758,303
1710892396.9090967,14,44,71817,75415,7469,1453,2248,1355,770,800
1710892397.903674,20,63,122655,98468,40888,21082,14933,8417,6368,7503
1710892398.9078047,17,50,105016,58997,3483,3661,4846,2695,958,1352
1710892399.9105127,11,44,26918,13199,2915,3955,8402,2363,3020,1138
1710892400.8817124,34,50,142796,37408,7708,6847,21559,11206,2987,3989
1710892401.9045208,44,47,10387,14399,2387,8816,12822,5502,7321,8599
1710892402.9076915,60,60,38907,3768,616,3964,1787,2379,2750,1319
1710892404.910965,50,74,69565,32184,4595,3206,5214,1405,522,1300
