,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
1710891260.1161532,51,53,936573,54071,46465,27932,23603,17324,21244,21456
1710891261.135124,34,43,617402,503077,62568,32957,43616,14280,28755,14064
1710891262.1225183,44,41,1371163,183957,57863,18394,41257,28007,7540,13271
1710891263.1265237,26,23,1302761,829923,44403,25533,74660,16668,5923,8895
1710891264.1215234,7,24,535292,65579,23778,51642,3751,6093,8444,8343
1710891266.1202865,24,54,60756,10447,14776,4510,7464,2897,1473,1562
1710891267.1237173,47,69,2382584,153930,12214,33229,16585,13957,9355,3583
1710891268.136141,70,54,525347,42791,8652,15241,24906,11033,14918,3822
1710891269.1253638,75,64,71506,27924,19496,11585,10407,3706,5653,1212
1710891270.120918,56,30,434865,868664,30310,38036,26183,36098,24341,10779
1710891271.1150908,74,56,1098822,40834,107748,41016,34680,30673,9582,8147
1710891272.1274035,67,56,419326,170656,17627,43835,12906,26695,17318,12813
1710891273.1211176,88,60,1576077,15023,41885,18805,19942,25126,9571,4205
1710891274.144138,100,81,76346,65571,16894,14251,6977,19178,9426,8504
1710891275.1529667,100,61,38784,11184,2875,2696,1096,2208,1188,524
1710891276.1328897,83,57,130509,46970,6925,7910,7460,3564,3579,1873
1710891277.1200678,54,50,27746,30832,8098,14168,5312,2348,1308,1192
1710891278.139533,50,61,48576,5512,2444,5781,3061,2014,2510,885
1710891279.1235843,63,60,36351,6532,1766,1828,2398,2936,2116,598
1710891280.1394532,90,60,3096,5570,1768,970,1196,3971,2792,2631
1710891281.1199517,100,64,13361,8157,4490,6919,1748,3958,2002,1812
1710891283.1174684,57,53,105124,20181,12071,9759,5827,3368,2753,870
1710891284.1307807,37,56,198228,32625,7704,6427,5825,3848,1742,1220
1710891285.140895,24,44,39887,9135,3734,361,1278,1098,802,263
1710891286.136175,38,44,268776,58459,8337,1239,6537,4382,1207,997
1710891287.1480138,50,30,993904,91787,25004,19653,29744,27252,4045,2976
1710891288.136106,50,21,27502,33336,1810,4961,6486,3496,4647,576
1710891289.117786,44,24,185046,30401,7067,12193,7748,3278,1432,1636
1710891290.1281164,44,37,93069,125502,30421,10852,10212,9529,7869,6701
1710891291.1449027,30,43,46640,17209,4831,8073,7851,2078,1244,1087
1710891292.1334364,26,47,65221,39370,3188,6349,2760,3060,2299,734
1710891293.156578,44,37,85202,14282,3583,2794,7051,5607,1002,687
1710891294.1172485,64,47,145225,18741,12215,8869,6565,9818,552,1592
1710891296.1414924,77,64,261029,141654,13621,46522,16677,17118,10266,4068
1710891297.1362395,83,81,177358,7123,3073,13089,3343,9679,1496,1054
1710891298.1175036,77,88,143321,16087,19512,1499,2616,5825,3813,1371
1710891299.1365309,91,77,20337,10010,6359,3973,5822,7246,1393,1692
1710891300.1221023,81,77,255416,182103,62634,18014,25814,11431,16404,7420
1710891301.1341596,63,60,875277,141740,26028,18523,25486,20969,7602,4200
1710891302.139696,51,41,362098,37980,4084,8202,6758,2929,2200,612
1710891303.1329706,47,43,6005,7285,7558,1501,4288,4390,1869,951
1710891304.129316,66,51,51523,37364,26765,21347,14580,15183,5270,4735
1710891305.1296852,78,61,184527,28479,15912,22104,26949,19059,5580,4660
1710891307.1404061,84,64,77253,51928,19071,7264,19372,10307,6806,6808
1710891309.1307712,50,54,581573,203948,36884,24844,24403,7652,2616,4304
1710891310.143105,35,51,49303,22071,4872,4853,4175,2025,905,412
1710891311.1546993,34,60,8876,11001,892,11098,3094,2900,2598,817
1710891312.1421473,14,66,101883,28847,27001,5824,1854,2219,646,693
1710891313.1372285,44,78,74485,34469,21776,27314,9629,22054,5902,4686
1710891314.117895,61,81,64928,14569,8890,6799,15688,6228,546,588
1710891315.1372166,56,63,44097,61558,1013,9249,4197,6305,1473,569
1710891316.1185997,66,63,127020,60328,106697,18337,47840,12678,6770,4792
1710891317.137949,53,35,204053,44697,1475,926,3613,4214,1255,1518
1710891318.1231172,56,38,21489,39022,9107,23796,16627,19499,2853,2642
1710891319.1183343,61,40,18705,85413,7547,5407,7614,13257,2981,2980
1710891320.1147983,63,17,37466,25440,3061,1203,2432,2513,986,648
1710891321.1355126,77,50,52498,26155,14605,30406,16993,17548,5908,4961
1710891322.1216068,48,41,19808,50324,6023,8617,5408,2060,1029,1245
1710891323.1344912,40,37,33309,16862,1649,645,8648,1371,824,717
1710891324.1378865,54,60,31089,9045,13269,6906,4366,7215,4732,3746
