,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
1710520369.595011,51,41,716454,95414,34501,14131,15398,31102,39455,10980
1710520370.5923681,57,56,300920,53412,26916,14376,18243,10863,15277,11184
1710520371.6257,74,78,29925,18676,14457,12361,13548,14321,14021,17162
1710520372.5938249,93,97,21887,12844,17325,6617,8834,17375,10366,7810
1710520373.5888515,91,100,16533,48564,24295,16558,7709,14494,4023,13577
1710520374.5895686,100,97,36055,15668,829,12266,11354,13967,13503,6287
1710520375.6182144,96,100,30259,25392,23516,13030,6343,7870,7146,9188
1710520376.5835674,90,75,24882,36604,15435,2369,11984,15150,8233,17138
1710520377.5842621,90,48,63125,45236,10607,4305,5600,9343,7919,6264
1710520378.579978,77,66,26960,56987,53370,6132,10543,14771,6482,4318
